type,bool > 0.5,max index,diff max and 1,slope to min,max val,slope to max,min index,diff one,diff two,diff three
Type A,1,0,0.0,-0.0081584957264957264,0.99818099999999998,0,117,-0.62150099999999997,0.25127900000000003,-0.58432200000000001
Type A,1,19,0.027901000000000065,-0.015789355932203392,0.92835900000000005,0.0014684736842105297,78,0.011646000000000045,-0.00066600000000005544,0.016921000000000075
Type B,1,53,0.36889499999999997,0.006960283018867924,0.69227799999999995,0.006960283018867924,0,0.30578000000000005,-0.00071600000000004993,0.063830999999999971
Type A,1,5,0.0033959999999999546,-0.01432728205128205,1.0021169999999999,0.00067919999999999092,83,0.0033959999999999546,-0.0083919999999999551,0.00015900000000002024
Type B,1,57,0.44497000000000003,-0.014503842105263157,0.90811900000000001,0.0078064912280701761,114,0.0011349999999999971,-0.0016479999999999828,0.44548300000000002
Type A,1,0,0.0,-0.0078114471544715449,0.97165199999999996,0,123,-0.006417000000000006,0.0017310000000000381,-0.92041200000000001
Type B,1,70,0.85905799999999999,-0.016465,0.96428000000000003,0.012272257142857143,124,-0.019175999999999999,0.013838000000000003,-5.3999999999998494e-05
Type A,1,19,0.0096319999999999739,-0.0083125619047619056,0.88027,0.00050694736842105126,124,0.008548,-0.006620999999999988,0.0077049999999999619
Type A,1,23,0.065389999999999948,-0.015677215686274511,0.90262699999999996,0.0028430434782608675,74,0.060235000000000039,-0.00041900000000005821,0.0055739999999999679
Type A,1,1,0.00021300000000001873,-0.0047289010989010997,0.85206400000000004,0.00021300000000001873,92,0.00021300000000001873,-0.32449600000000001,0.086643999999999943
Type A,1,0,0.0,-0.0086439333333333326,0.722333,0,75,-0.60510700000000006,0.00036900000000000821,-0.043556999999999998
Type A,1,1,0.00046800000000002395,-0.0037439024390243901,0.81543399999999999,0.00046800000000002395,124,0.00046800000000002395,-0.11256900000000003,0.0018870000000000831
Type A,1,21,0.038567999999999936,-0.0098651686746987939,0.91469199999999995,0.0018365714285714255,104,0.038567999999999936,-0.8188089999999999,0.011168999999999998
Type B,1,108,0.77593999999999996,0.011197112499999998,0.99467099999999997,0.0071846296296296294,28,-0.119829,0.89576899999999993,-0.21955199999999997
Type A,1,5,0.0068019999999999747,-0.015914203124999998,0.94089199999999995,0.0013603999999999949,69,0.0068019999999999747,-0.0013319999999999999,0.00046600000000007746
Type A,1,2,0.0088309999999999222,-0.0058904210526315778,0.61500699999999997,0.0044154999999999611,97,0.0088309999999999222,-0.53816200000000003,0.0030939999999999995
Type A,1,0,0.0,-0.014607146341463415,0.63393100000000002,0,41,-0.59761500000000001,7.999999999999674e-05,-0.0013579999999999981
Type B,1,71,0.86343000000000003,0.01590169090909091,0.97004500000000005,0.012160985915492958,16,-0.011101,0.0002289999999999931,-0.00029099999999999959
Type B,1,61,0.37876399999999999,-0.010664269841269843,0.74928899999999998,0.0062092459016393443,124,-0.059443999999999997,0.00014000000000002899,-0.061809000000000031
Type A,1,0,0.0,-0.015453555555555557,0.94831500000000002,0,45,-0.69541000000000008,0.67819300000000005,-0.00060499999999996668
Type A,1,0,0.0,-0.011124928571428574,0.70464800000000005,0,56,-0.097471000000000085,0.00026500000000007073,-0.52578999999999998
Type A,1,8,0.0013009999999999966,-0.0086472142857142859,1.021957,0.00016262499999999958,120,0.0013009999999999966,-0.90139999999999998,0.058760000000000007
Type A,1,0,0.0,-0.0042932149532710273,0.60526599999999997,0,107,-0.41696899999999998,0.20749699999999999,-0.24990199999999999
Type A,1,4,0.0015000000000000568,-0.0092939809523809522,0.98634900000000003,0.00037500000000001421,109,0.0015000000000000568,-0.91126400000000007,0.0014220000000000066
Type A,1,0,0.0,-0.0085820099009900983,0.95443,0,101,-0.0053069999999999506,0.0011849999999999916,-0.86266100000000001
Type A,1,0,0.0,-0.0073052113821138213,0.96968500000000002,0,123,-0.11170199999999997,0.035553999999999975,-0.81561600000000001
Neither,1,0,0.0,-0.0044686370967741938,0.69122099999999997,0,124,-0.0083179999999999366,0.0079089999999999439,-0.0070500000000000007
Type A,1,0,0.0,-0.018644777777777777,0.97155800000000003,0,54,-1.006818,0.053922999999999999,-0.00039399999999999852
Type A,1,12,0.0056320000000000814,-0.010392621052631579,1.030008,0.0004693333333333401,107,0.0056320000000000814,-0.00017100000000014326,6.5000000000203784e-05
Type A,1,0,0.0,-0.0080113508771929836,0.94955800000000001,0,114,-0.904555,0.047341999999999995,-0.053815999999999996
Neither,0,0,0.0,-0.0015119787234042553,0.16906299999999999,0,94,-0.0034959999999999991,0.0021710000000000063,-0.013364999999999988
Type A,1,50,0.28395400000000004,-0.0094608108108108109,0.90989100000000001,0.0056790800000000004,124,-0.012693999999999983,0.29664800000000002,-0.70009999999999994
Type A,1,51,0.0045199999999999685,-0.012473671232876713,0.96137499999999998,8.8627450980391544e-05,124,-0.00069500000000000117,8.0000000000080007e-06,-0.00076799999999999091
Type A,1,6,0.0020940000000000403,-0.0084129491525423723,1.017226,0.00034900000000000669,124,0.0020940000000000403,-0.98420200000000002,0.059717000000000006
Type A,1,35,0.052635000000000098,-0.020948567567567567,0.80869500000000005,0.0015038571428571458,72,-0.00918399999999997,0.061819000000000068,-0.77509700000000004
Type A,1,0,0.0,-0.0058490403225806452,0.87170499999999995,0,124,-0.71573299999999995,0.0079029999999999934,-0.0063769999999999938
Type A,1,8,0.0095020000000000104,-0.0072339895833333336,0.796593,0.0011877500000000013,104,0.0095020000000000104,-0.006740999999999997,0.0011729999999999796
Type A,1,18,0.020447999999999911,-0.0077395943396226406,0.99116499999999996,0.0011359999999999951,124,0.020447999999999911,-0.42556099999999997,0.36189499999999997
Neither,0,45,0.15910200000000002,-0.0081132647058823528,0.32655200000000001,0.0035356000000000003,79,-0.040782999999999986,0.111322,-1.5000000000015001e-05
Neither,0,112,0.04207099999999997,0.0054478656716417904,0.40091599999999999,0.0003756339285714283,45,-0.322936,0.020253999999999994,-0.017783
Neither,0,0,0.0,-0.0073456229508196726,0.446627,0,61,-0.44808300000000001,0.12934500000000002,-0.0008839999999999959
Neither,0,54,0.15365499999999999,-0.0058004545454545453,0.36815999999999999,0.0028454629629629628,98,0.0059190000000000076,-0.0095020000000000104,6.8000000000012495e-05
Neither,1,0,0.0,-0.012287916666666667,0.56894100000000003,0,36,-0.44236500000000001,0.23580300000000001,-0.039285999999999988
Neither,0,32,0.095753000000000005,-0.0023262608695652177,0.17302000000000001,0.0029922812500000001,78,0.015995999999999996,-4.099999999999937e-05,0.077897999999999995
Neither,0,76,0.23483999999999999,-0.0058884651162790696,0.24667,0.0030899999999999999,119,-0.0032230000000000002,0.0019810000000000001,-0.0012399999999999998
Neither,1,0,0.0,-0.0090809375000000005,0.52573800000000004,0,48,-0.43588500000000002,0.0063649999999999957,-0.0018529999999999935
Neither,0,0,0.0,-0.0048672000000000003,0.36039500000000002,0,65,-0.23880400000000002,0.0032019999999999965,-0.080766000000000004
Neither,0,86,0.32920500000000003,0.0069629836065573771,0.47287600000000002,0.0038279651162790702,25,-0.095536999999999983,0.079478999999999994,-0.0054620000000000085
Neither,0,0,0.0,-0.0048672000000000003,0.36039500000000002,0,65,-0.23880400000000002,0.0032019999999999965,-0.080766000000000004
Neither,0,0,0.0,-0.0054552769230769233,0.39861999999999997,0,65,-0.24109599999999998,0.0012320000000000109,-0.11472900000000001
Neither,0,0,0.0,-0.0063118857142857145,0.24043500000000001,0,35,-0.220916,0.19406699999999999,-0.12872699999999998
