type,bool > 0.5,max index,diff max and 1,slope to min,max val,slope to max,min index,diff 1,diff 2,diff 3,diff 4,diff 5,entry #
Type A,1,0,0.0,-0.0081584957264957264,0.99818099999999998,0,117,-0.62150099999999997,0.25127900000000003,-0.58432200000000001,,,0
Type A,1,19,0.027901000000000065,-0.015789355932203392,0.92835900000000005,0.0014684736842105297,78,-0.903671,0.29675000000000001,,,,1
Type B,1,53,0.36889499999999997,0.006960283018867924,0.69227799999999995,0.006960283018867924,0,0.30578000000000005,-0.17517200000000005,0.068066000000000015,,,2
Type A,1,5,0.0033959999999999546,-0.01432728205128205,1.0021169999999999,0.00067919999999999092,83,-1.1141319999999999,0.37747799999999998,,,,3
Type B,1,57,0.44497000000000003,-0.014503842105263157,0.90811900000000001,0.0078064912280701761,114,0.44497000000000003,-0.82671899999999998,,,,4
Type A,1,0,0.0,-0.0078114471544715449,0.97165199999999996,0,123,-0.92509799999999998,,,,,5
Type B,1,70,0.85905799999999999,-0.016465,0.96428000000000003,0.012272257142857143,124,0.85905799999999999,-0.88911000000000007,,,,6
Type A,1,19,0.0096319999999999739,-0.0083125619047619056,0.88027,0.00050694736842105126,124,-0.59443299999999999,-0.26875399999999999,,,,7
Type A,1,23,0.065389999999999948,-0.015677215686274511,0.90262699999999996,0.0028430434782608675,74,0.060235000000000039,-0.79438300000000006,,,,8
Type A,1,1,0.00021300000000001873,-0.0047289010989010997,0.85206400000000004,0.00021300000000001873,92,-0.32428299999999999,0.086643999999999943,-0.081960999999999951,-0.10138900000000001,0.077116999999999936,9
Type A,1,0,0.0,-0.0086439333333333326,0.722333,0,75,-0.60510700000000006,,,,,10
Type A,1,1,0.00046800000000002395,-0.0037439024390243901,0.81543399999999999,0.00046800000000002395,124,-0.11210100000000001,-0.047818999999999945,-0.21562400000000004,,,11
Type A,1,21,0.038567999999999936,-0.0098651686746987939,0.91469199999999995,0.0018365714285714255,104,-0.78024099999999996,0.075944000000000011,,,,12
Type B,1,108,0.77593999999999996,0.011197112499999998,0.99467099999999997,0.0071846296296296294,28,-0.119829,0.89576899999999993,-0.21955199999999997,,,13
Type A,1,5,0.0068019999999999747,-0.015914203124999998,0.94089199999999995,0.0013603999999999949,69,-1.0117069999999999,0.25590499999999999,,,,14
Type A,1,2,0.0088309999999999222,-0.0058904210526315778,0.61500699999999997,0.0044154999999999611,97,-0.529331,0.094701000000000007,,,,15
Type A,1,0,0.0,-0.014607146341463415,0.63393100000000002,0,41,-0.59761500000000001,0.20474199999999998,-0.15267700000000001,,,16
Type B,1,71,0.86343000000000003,0.01590169090909091,0.97004500000000005,0.012160985915492958,16,0.86343000000000003,-0.67222300000000001,,,,17
Type B,1,61,0.37876399999999999,-0.010664269841269843,0.74928899999999998,0.0062092459016393443,124,-0.059443999999999997,-0.061669000000000002,0.49987700000000002,-0.67184900000000003,,18
Type A,1,0,0.0,-0.015453555555555557,0.94831500000000002,0,45,-0.69541000000000008,0.67819300000000005,-0.59102299999999997,,,19
Type A,1,0,0.0,-0.011124928571428574,0.70464800000000005,0,56,-0.097471000000000085,-0.52552500000000002,0.16768,-0.082297000000000009,,20
Type A,1,8,0.0013009999999999966,-0.0086472142857142859,1.021957,0.00016262499999999958,120,-0.90009899999999998,0.058760000000000007,-0.124518,,,21
Type A,1,0,0.0,-0.0042932149532710273,0.60526599999999997,0,107,-0.41696899999999998,0.20749699999999999,-0.24990199999999999,0.24030500000000002,,22
Type A,1,4,0.0015000000000000568,-0.0092939809523809522,0.98634900000000003,0.00037500000000001421,109,-0.90976400000000002,-0.064603999999999995,,,,23
Type A,1,0,0.0,-0.0085820099009900983,0.95443,0,101,-0.86678299999999997,0.154415,,,,24
Type A,1,0,0.0,-0.0073052113821138213,0.96968500000000002,0,123,-0.11170199999999997,-0.78006200000000003,,,,25
Type A,1,0,0.0,-0.0044686370967741938,0.69122099999999997,0,124,-0.36700499999999997,-0.11329600000000001,-0.073809999999999987,,,26
Type A,1,0,0.0,-0.018644777777777777,0.97155800000000003,0,54,-1.006818,0.053922999999999999,0.40482499999999999,,,27
Type A,1,12,0.0056320000000000814,-0.010392621052631579,1.030008,0.0004693333333333401,107,-0.97616199999999997,,,,,28
Type A,1,0,0.0,-0.0080113508771929836,0.94955800000000001,0,114,-0.904555,-0.0064740000000000006,,,,29
Neither,0,0,0.0,-0.0015119787234042553,0.16906299999999999,0,94,-0.13277,,,,,30
Type B,1,50,0.28395400000000004,-0.0094608108108108109,0.90989100000000001,0.0056790800000000004,124,0.28395400000000004,-0.70009999999999994,,,,31
Type A,1,51,0.0045199999999999685,-0.012473671232876713,0.96137499999999998,8.8627450980391544e-05,124,-0.90605800000000003,,,,,32
Type A,1,6,0.0020940000000000403,-0.0084129491525423723,1.017226,0.00034900000000000669,124,-0.98210799999999998,0.059717000000000006,-0.068242999999999998,,,33
Type A,1,35,0.052635000000000098,-0.020948567567567567,0.80869500000000005,0.0015038571428571458,72,0.052635000000000098,-0.77509700000000004,0.315193,,,34
Type A,1,0,0.0,-0.0058490403225806452,0.87170499999999995,0,124,-0.71573299999999995,-0.0095480000000000009,,,,35
Type A,1,8,0.0095020000000000104,-0.0072339895833333336,0.796593,0.0011877500000000013,104,-0.63518200000000002,,,,,36
Type A,1,18,0.020447999999999911,-0.0077395943396226406,0.99116499999999996,0.0011359999999999951,124,-0.40511300000000006,0.36189499999999997,-0.75673099999999993,,,37
Neither,0,45,0.15910200000000002,-0.0081132647058823528,0.32655200000000001,0.0035356000000000003,79,0.070539000000000018,0.088563000000000003,-0.27585100000000001,0.24638700000000002,,38
Neither,0,112,0.04207099999999997,0.0054478656716417904,0.40091599999999999,0.0003756339285714283,45,-0.322936,0.36500699999999997,-0.057076999999999989,,,39
Neither,0,0,0.0,-0.0073456229508196726,0.446627,0,61,-0.44808300000000001,0.12934500000000002,,,,40
Neither,0,54,0.15365499999999999,-0.0058004545454545453,0.36815999999999999,0.0028454629629629628,98,0.13248500000000002,-0.22844900000000001,0.079496999999999998,,,41
Neither,1,0,0.0,-0.012287916666666667,0.56894100000000003,0,36,-0.44236500000000001,0.23580300000000001,,,,42
Neither,0,32,0.095753000000000005,-0.0023262608695652177,0.17302000000000001,0.0029922812500000001,78,0.093852999999999992,-0.097268999999999994,0.097078999999999999,,,43
Neither,0,76,0.23483999999999999,-0.0058884651162790696,0.24667,0.0030899999999999999,119,0.23483999999999999,-0.25320399999999998,,,,44
Neither,1,0,0.0,-0.0090809375000000005,0.52573800000000004,0,48,-0.43588500000000002,0.18502799999999997,-0.029447999999999974,-0.053038000000000002,,45
Neither,0,0,0.0,-0.0048672000000000003,0.36039500000000002,0,65,-0.23880400000000002,-0.077564000000000008,0.074654999999999999,-0.061987999999999994,,46
Neither,0,86,0.32920500000000003,0.0069629836065573771,0.47287600000000002,0.0038279651162790702,25,-0.095536999999999983,0.079478999999999994,0.34526299999999999,-0.20967600000000003,0.11622500000000002,47
Neither,0,0,0.0,-0.0048672000000000003,0.36039500000000002,0,65,-0.23880400000000002,-0.077564000000000008,0.074654999999999999,-0.061987999999999994,,48
Neither,0,0,0.0,-0.0054552769230769233,0.39861999999999997,0,65,-0.24109599999999998,-0.113497,0.074321999999999999,-0.063442999999999999,,49
Neither,0,0,0.0,-0.0063118857142857145,0.24043500000000001,0,35,-0.220916,0.19406699999999999,-0.12872699999999998,,,50
Neither,0,0,0.0,-0.0054964096385542172,0.460289,0,83,-0.08297199999999999,-0.090803999999999996,-0.28242600000000001,0.200654,,51
Neither,0,0,0.0,-0.0019080085470085466,0.32702399999999998,0,117,-0.205042,0.17258300000000004,-0.190778,,,52
Neither,0,1,0.00031799999999998496,-0.0041122857142857142,0.39721299999999998,0.00031799999999998496,106,-0.24837799999999999,-0.18309400000000001,,,,53
Neither,0,93,0.19519,0.0077730000000000004,0.270509,0.0020988172043010754,62,0.19492000000000001,-0.195851,,,,54
Neither,0,68,0.10269699999999998,-0.0096040697674418599,0.39070199999999999,0.0015102499999999997,111,-0.19839200000000001,0.301089,-0.41297499999999998,0.051963000000000002,,55
Neither,0,68,0.10269699999999998,-0.0096040697674418599,0.39070199999999999,0.0015102499999999997,111,-0.19839200000000001,0.301089,-0.41297499999999998,0.051963000000000002,,56
Neither,0,68,0.10811199999999999,-0.009438046511627907,0.396117,0.0015898823529411762,111,-0.19839200000000001,0.306504,-0.40583599999999997,,,57
Neither,0,68,0.10269699999999998,-0.0096040697674418599,0.39070199999999999,0.0015102499999999997,111,-0.19839200000000001,0.301089,-0.41297499999999998,0.051963000000000002,,58
Neither,0,124,0.10830099999999998,0.0020966777777777774,0.27456199999999997,0.00087339516129032247,34,0.038449000000000011,0.06985199999999997,,,,59
Neither,0,46,0.093700000000000006,0.0029799142857142857,0.23236000000000001,0.0020369565217391306,11,0.092586000000000002,,,,,60
Neither,0,73,0.16749299999999998,0.0074063870967741923,0.34526299999999999,0.0022944246575342464,42,-0.057944000000000009,0.225437,-0.206479,0.05010400000000001,,61
